# schema=v5.native_operator_error_map.v1
# source_count=556
# interpreter_fixed_count=197
# dynamic_format_count=358
# inventory_sha256=0ba0c29826e96f54f574a8db9c6319d29f79c08082cacf170ea8bf4163e7b175
source_id	origin	native_pattern_json	reason_cn_json	handling_group
INTERPRETER_FMT_2948612645E2	CHKS:rs274ngc/interp_read.cc	"BUG: G remapping: modal group < 0"	"G指令重映射组配置无效"	INTERNAL
INTERPRETER_FMT_2A002AE3A61B	CHKS:rs274ngc/interp_convert.cc	"gen_restore G20/G21 failed: '%s'"	"gen_restore G20/G21 失败: '%s'"	PROGRAM_SYNTAX
INTERPRETER_FMT_2C0581A89BFC	ERS:rs274ngc/interp_remap.cc	"BUG: add_parameters: remap_frame: executing_remap == NULL "	"重映射执行上下文缺失"	INTERNAL
INTERPRETER_FMT_2D13FF959D88	CHKS:rs274ngc/interp_read.cc	"Left bracket missing after 'repeat'"	"'repeat'后左括号丢失"	PROGRAM_SYNTAX
INTERPRETER_FMT_2D19538684A2	CHKS:rs274ngc/interp_o_word.cc	"'O.... endsub' or 'O.... return' must follow 'O.... sub' subroutine definition"	"O endsub或O return必须跟在O sub子程序定义之后"	PROGRAM_FLOW
INTERPRETER_FMT_2D8F74CB93C8	CHKS:rs274ngc/interp_convert.cc	"Cannot change control mode with cutter radius compensation on"	"使用刀具半径补偿时不能改变控制模式"	PROGRAM_GEOMETRY
INTERPRETER_FMT_2F68FB711823	CHKS:rs274ngc/interp_internal.cc	"Cannot specify both polar coordinate and X word"	"不能同时指定极坐标和X字"	PROGRAM_SYNTAX
INTERPRETER_FMT_316C984AB0E5	CHKS:rs274ngc/interp_convert.cc	"Bug:  Reached convert_stop() from M99 as subprogram return"	"错误:从M99到达convert_stop() 作为子程序返回"	INTERNAL
INTERPRETER_FMT_32CCE248499D	ERS:rs274ngc/interp_namedparams.cc	"Python call %s.%s returned '%s' - expected double, int or string, got %s"	"扩展调用%s.%s返回类型无效"	PROGRAM_SYNTAX
INTERPRETER_FMT_34AA6A99F4C7	CHKS:rs274ngc/interp_cycles.cc	"G18.1 canned cycle is not possible on a machine without V axis"	"没有V轴的机床不能使用G18.1固定循环"	PROGRAM_GEOMETRY
INTERPRETER_FMT_34E216AEBE63	CHKS:rs274ngc/interp_internal.cc	"Cannot specify both polar coordinate and Y word"	"不能同时指定极坐标和Y字"	PROGRAM_SYNTAX
INTERPRETER_FMT_37BBB13865F9	CHKS:rs274ngc/interp_check.cc	"D word with no G41, G41.1, G42, G42.1, G71, G71.1, G71.2 or G96 to use it"	"D指令 没有与 G41、G41.1、G42、G42.1、G96 配合使用"	PROGRAM_SYNTAX
INTERPRETER_FMT_3862224C1B96	CHKS:rs274ngc/interp_cycles.cc	"Cannot put a W in a canned cycle in the %s plane"	"在%s平面的固定循环中不能使用W轴"	PROGRAM_GEOMETRY
INTERPRETER_FMT_397792455F41	CHKS:rs274ngc/interp_cycles.cc	"Cannot put an X in a canned cycle in the %s plane"	"在%s平面的固定循环中不能使用X轴"	PROGRAM_GEOMETRY
INTERPRETER_FMT_39B63357DEED	ERS:rs274ngc/interp_queue.cc	"BUG: Unsupported plane in cutter compensation"	"错误: 不支持的平面刀具补偿"	INTERNAL
INTERPRETER_FMT_3D03EC74DC65	CHKS:rs274ngc/interp_namedparams.cc	"BUG: variable '%s' marked global, but assigned at level %d"	"变量%s声明为全局变量，但在层级%d被赋值"	INTERNAL
INTERPRETER_FMT_3EACC1D171E5	ERS:rs274ngc/interp_convert.cc	"G10 L0 not allowed with loaded tool <%d>\n"	"刀具%d已装载时不允许使用G10 L0"	TOOL
INTERPRETER_FMT_3F4B67247805	ERS:rs274ngc/interp_g7x.cc	"G7X error: I must be greater than zero."	"G7X的I参数必须大于0"	PROGRAM_GEOMETRY
INTERPRETER_FMT_402C64C4E5B8	ERS:rs274ngc/interp_namedparams.cc	"Internal error: Could not assign #<%s>"	"内部错误:无法分配#<%s>"	INTERNAL
INTERPRETER_FMT_407F071C225F	CHKS:rs274ngc/interp_find.cc	"G91 motion with polar coordinates is indeterminate when at the origin"	"在极坐标下的G91运动在原点时是不确定的"	PROGRAM_SYNTAX
INTERPRETER_FMT_40A9079D8A82	CHKS:rs274ngc/interp_namedparams.cc	"adding r/o '%s'"	"内部只读参数%s注册异常"	INTERNAL
INTERPRETER_FMT_40FFBEF30C18	CHKS:rs274ngc/interp_convert.cc	"BUG: cannot restore from a lower call level (%d) to a higher call level (%d)"	"错误:无法从较低的对话级别(%d)恢复到较高的对话级别(%d)"	INTERNAL
INTERPRETER_FMT_4255607C2C70	CHKS:rs274ngc/interp_convert.cc	"Must specify positive weight P for every Control Point"	"必须为每个控制点指定正的权重P"	PROGRAM_SYNTAX
INTERPRETER_FMT_426526C4572E	CHKS:rs274ngc/interp_convert.cc	"Cannot feed with zero spindle speed in feed per rev mode"	"每转进给模式下无法以主轴转速进给"	SPINDLE
INTERPRETER_FMT_428D262E2174	CHKS:rs274ngc/interp_convert.cc	"No valid P word with M64"	"M64没有有效的P字"	PROGRAM_SYNTAX
INTERPRETER_FMT_43CF29A482BC	CHKS:rs274ngc/interp_check.cc	"Line with G10 does not have L0, L1, L10, L11, L2, or L20"	"G10指令的所在行没有L0、L1、L10、L11、L2、L20"	PROGRAM_SYNTAX
INTERPRETER_FMT_44172D21FA21	CHKS:rs274ngc/interp_convert.cc	"No valid P word with M63"	"M63没有有效的P字"	PROGRAM_SYNTAX
INTERPRETER_FMT_455E8D57152D	CHKS:rs274ngc/interp_convert.cc	"Cannot make a NURBS with 0 feedrate"	"无法以0进给率创建NURBS"	PROGRAM_SYNTAX
INTERPRETER_FMT_4590F85E153E	ERS:rs274ngc/interp_g7x.cc	"G7x error: Cannot use U and X in the same block"	"同一G7X程序块不能同时使用U和X"	PROGRAM_GEOMETRY
INTERPRETER_FMT_45B6996C0F53	CHKS:rs274ngc/interp_check.cc	"I word with no G2, G3, G5, G5.1, G10, G33.1, G76, or G87 to use it"	"I指令 没有与 G2、 G3、 G5、 G5.1、 G10、 G33.1、 G76、G87 配合使用"	PROGRAM_SYNTAX
INTERPRETER_FMT_471B0C445A13	CHKS:rs274ngc/interp_o_word.cc	"Fanuc 'O....' subroutine definition must end with 'M99'"	"Fanuc格式的O子程序定义必须以M99结束"	PROGRAM_FLOW
INTERPRETER_FMT_473324635BB4	ERS:rs274ngc/interp_queue.cc	"Straight traverse in concave corner cannot be reached by the tool without gouging"	"直线运动刀具无法到达凹角处,会做成刨削槽"	TOOL
INTERPRETER_FMT_49D3652B0D5A	CHKS:rs274ngc/interp_check.cc	"P value not an integer with M19 G2 or G3"	"P值 在与M19 G2或G3 使用时不为整数"	PROGRAM_SYNTAX
INTERPRETER_FMT_4A39AF0CABAD	CHKS:rs274ngc/interp_convert.cc	"Cannot change retract mode with cutter radius compensation on"	"开启刀具半径补偿后，无法更改退刀模式"	PROGRAM_GEOMETRY
INTERPRETER_FMT_4A683B7BA9E4	CHKS:rs274ngc/interp_cycles.cc	"G17 canned cycle is not possible on a machine without Z axis"	"没有Z轴的机床不能使用G17固定循环"	PROGRAM_GEOMETRY
INTERPRETER_FMT_4A74ED57A0C6	CHKS:rs274ngc/interp_python.cc	"py_execute(%s)%s:\n%s"	"扩展程序%s执行失败"	PROGRAM_SYNTAX
INTERPRETER_FMT_4AE33AB9A384	CHKS:rs274ngc/interp_check.cc	"H word with no G43 or G76 to use it"	"H指令 没有与 G43、G76 配合使用"	PROGRAM_SYNTAX
INTERPRETER_FMT_4DB7C80392A1	ERS:rs274ngc/interp_g7x.cc	"G%d.%d cannot be used with cutter compensation enabled"	"启用刀具补偿时不能使用G%d.%d"	TOOL
INTERPRETER_FMT_4F61F3194495	CHKS:rs274ngc/interp_convert.cc	"G10 L1 without offsets has no effect"	"无偏移的G10 L1无效"	PROGRAM_SYNTAX
INTERPRETER_FMT_4F7D4BECA987	ERS:rs274ngc/interp_convert.cc	"BUG: Code not G40, G41, G41.1, G42, G42.1"	"控制系统内部指令状态异常"	INTERNAL
INTERPRETER_FMT_508F36D9809F	CHKS:rs274ngc/interp_namedparams.cc	"fetch_hal_param: hal_init(%s): %d"	"获取底层控制参数: 底层控制_init(%s): %d"	PROGRAM_SYNTAX
INTERPRETER_FMT_516EB0A7C1BB	CHKS:rs274ngc/interp_cycles.cc	"Invalid E-number in G74/G84 cycle"	"G74 / G84循环中的E编号无效"	PROGRAM_SYNTAX
INTERPRETER_FMT_54AC6C8557C5	CHKS:rs274ngc/rs274ngc_pre.cc	"Failed to find sub 'O%s' before EOF"	"程序结束前未找到子程序O%s"	PROGRAM_FILE
INTERPRETER_FMT_54F75CE6DAC4	CHKS:rs274ngc/interp_cycles.cc	"Cannot use inverse time feed with canned cycles"	"使用固定循环时不能用反时限进给"	PROGRAM_GEOMETRY
INTERPRETER_FMT_55117CB1D4BB	CHKS:rs274ngc/interp_python.cc	"run_string(%s):\n%s"	"程序字符串%s执行失败"	PROGRAM_SYNTAX
INTERPRETER_FMT_563A7531D39F	CHKS:rs274ngc/interp_convert.cc	"Cannot use G5.3 without G5.2 first"	"首先不能使用G5.3而不使用G5.2"	PROGRAM_SYNTAX
INTERPRETER_FMT_57E1D984A98B	CHKS:rs274ngc/interp_cycles.cc	"Cannot put a U in a canned cycle in the %s plane"	"在%s平面的固定循环中不能使用U轴"	PROGRAM_GEOMETRY
INTERPRETER_FMT_58ED596EB765	CHKS:rs274ngc/rs274ngc_pre.cc	"Unable to open parameter file: '%s'"	"无法打开参数文件: '%s'"	CONFIG
INTERPRETER_FMT_5962BBE5DC1C	CHKS:rs274ngc/interp_convert.cc	"BUG: restore to level %d !?"	"错误:恢复到级别%d！?"	INTERNAL
INTERPRETER_FMT_5B9627C5B972	CHKS:rs274ngc/interp_convert.cc	"Arc to arc motion makes a corner the compensated tool can't fit in without gouging"	"圆弧到圆弧运动使拐角补偿的刀具无法适应没有刨削槽"	TOOL
INTERPRETER_FMT_5BA2F6C32E85	CHKS:rs274ngc/interp_check.cc	"P value out of range with G10 L%d"	"P值超出范围 G10 L%d"	PROGRAM_SYNTAX
INTERPRETER_FMT_5C412ED32346	CHKS:rs274ngc/interp_convert.cc	"Indexing axis %c can only be moved alone"	"索引轴%c只能单独移动"	PROGRAM_SYNTAX
INTERPRETER_FMT_5E8512A75C2B	CHKS:rs274ngc/interp_convert.cc	"Splines may not have motion in Z, A, B, or C"	"样条曲线在Z，A，B或C中可能没有运动"	PROGRAM_SYNTAX
INTERPRETER_FMT_5EDE63871F5D	CHKS:rs274ngc/interp_convert.cc	"R not allowed in G10 L20"	"R不允许在G10 L20中使用"	PROGRAM_SYNTAX
INTERPRETER_FMT_5FFB6D5CCB7B	CHKS:rs274ngc/interp_convert.cc	"Cannot set motion output with cutter radius compensation on"	"刀具半径补偿打开时，不能设置运动输出"	PROGRAM_GEOMETRY
INTERPRETER_FMT_60799AEC52F5	CHKS:rs274ngc/interp_convert.cc	"Cannot set motion digital output with cutter radius compensation on"	"刀具半径补偿打开时，不能设置运动数字输出"	PROGRAM_GEOMETRY
INTERPRETER_FMT_60B5DC7F3A95	CHKS:rs274ngc/interp_o_word.cc	"Bug:  Reached convert_control_functions() from M99 in main program"	"主程序中出现了不允许的M99控制流程"	INTERNAL
INTERPRETER_FMT_6326C2348D79	CHKS:rs274ngc/interp_convert.cc	"Length of cutter compensation entry move is not greater than the tool radius"	"刀具补偿进刀移动的长度不大于刀具半径"	TOOL
INTERPRETER_FMT_636EC7A1759C	CHKS:rs274ngc/interp_o_word.cc	"Fanuc 'O....' subroutine must be called with 'M98'"	"Fanuc格式的O子程序必须用M98调用"	PROGRAM_FLOW
INTERPRETER_FMT_64395535DA80	CHKS:rs274ngc/interp_check.cc	"P value out of range (0-9) with G10 L%d"	"P值超出范围(0-9)，G10 L%d"	PROGRAM_SYNTAX
INTERPRETER_FMT_65FD6B72ED41	CHKS:rs274ngc/interp_convert.cc	"No valid P word with M62"	"M62没有有效的P字"	PROGRAM_SYNTAX
INTERPRETER_FMT_66131B198601	CHKS:rs274ngc/interp_remap.cc	"BUG: convert_remapped_code: no remapping"	"当前指令没有对应的重映射定义"	INTERNAL
INTERPRETER_FMT_66E22FD51439	CHKS:rs274ngc/interp_convert.cc	"In G76, J must be greater than 0"	"在 G76，J 必须大于 0"	PROGRAM_SYNTAX
INTERPRETER_FMT_6791D653B4BB	CHKS:rs274ngc/interp_convert.cc	"Cannot use G76 threading cycle with cutter radius compensation on"	"不能使用G76螺紋週期當刀具半徑補償在使用"	PROGRAM_GEOMETRY
INTERPRETER_FMT_68F4F6F30B0C	CHKS:rs274ngc/interp_read.cc	"DISABLE_FANUC_STYLE_SUB disabled in INI file, but found bare O-word"	"程序中的裸O字与当前子程序格式设置不一致"	CONFIG
INTERPRETER_FMT_71602F68C053	CHKS:rs274ngc/interp_find.cc	"Cannot specify X or Y words with polar coordinate"	"不能用极坐标指定X或Y字"	PROGRAM_SYNTAX
INTERPRETER_FMT_73D98A9C7785	CHKS:rs274ngc/interp_cycles.cc	"Cannot put a Y in a canned cycle in the %s plane"	"在%s平面的固定循环中不能使用Y轴"	PROGRAM_GEOMETRY
INTERPRETER_FMT_73EF5828DB0C	CHKS:rs274ngc/interp_check.cc	"J word with no G2, G3, G5, G5.1, G10, G76 or G87 to use it"	"J指令 沒有与 G2、G3、G5、G5.1、G10、G76、G87 配合使用"	PROGRAM_SYNTAX
INTERPRETER_FMT_74FF94AA7381	CHKS:rs274ngc/interp_convert.cc	"Invalid absolute position %5.2f for wrapped rotary axis %c"	"绝对位置 %5.2f 无效，旋转轴%c"	MOTION_KINEMATICS
INTERPRETER_FMT_75FB754F6C0D	CHKS:rs274ngc/interp_check.cc	"$ (spindle selection) word with no M3, M4, M5, M19, M51, G33, G33.1, G76, G95, G96 or G97 to use it"	"$主轴选择参数没有配套的主轴或同步指令"	SPINDLE
INTERPRETER_FMT_7755F2D0E49C	ERS:rs274ngc/interp_read.cc	"EOF in file:%s seeking o-word: o<%s> from line: %d"	"EOF 在文件:%s 查找 o-word: o<%s> 来自行: %d"	PROGRAM_FLOW
INTERPRETER_FMT_78D86DB06FE1	CHKS:rs274ngc/interp_convert.cc	"In G76, K must be greater than J"	"在 G76，K 必须大于 J"	PROGRAM_SYNTAX
INTERPRETER_FMT_7A43FFE17500	CHKS:rs274ngc/interp_check.cc	"K word with no G2, G3, G33, G33.1, G76, or G87 to use it"	"K指令 没有与 G2、G3、G33、G33.1、G76、G87 配合使用"	PROGRAM_SYNTAX
INTERPRETER_FMT_7AA4BEA65763	CHKS:rs274ngc/interp_find.cc	"Requested tool %d not found in the tool table"	"请求的刀具%d在刀具表中找不到"	TOOL
INTERPRETER_FMT_7D28D1887E9F	CHKS:rs274ngc/interp_convert.cc	"Spindle ($) number out of range in M4 Command\nnum_spindles =%i. $=%d\n"	"M4命令中的主轴 ($) 编号超出范围 num_spindles =%i. $=%d"	SPINDLE
INTERPRETER_FMT_7D7476857755	CHKS:rs274ngc/interp_convert.cc	"Indexing axis %c can only be moved with G0"	"索引轴%c只能用G0移动"	PROGRAM_SYNTAX
INTERPRETER_FMT_7E71D4D383A5	ERS:rs274ngc/interp_namedparams.cc	"BUG: lookup_named_param(%s): unhandled index=%fn"	"错误: lookup_named_param(%s): unhandled index=%fn"	INTERNAL
INTERPRETER_FMT_7EDD7B95A49A	CHKS:rs274ngc/interp_convert.cc	"G%d with lathe tool, but plane is not G18"	"G%d 与车刀，但平面不是 G18"	TOOL
INTERPRETER_FMT_7FDA7D86D03C	ERS:rs274ngc/interp_convert.cc	"BUG: Invalid plane for cutter compensation"	"刀具补偿平面状态无效"	INTERNAL
INTERPRETER_FMT_80AEC49CD92D	CHKS:rs274ngc/interp_cycles.cc	"Spindle turning clockwise in G74"	"在G74中主轴顺时针转动"	SPINDLE
INTERPRETER_FMT_81212F4E4839	CHKS:rs274ngc/interp_convert.cc	"Invalid tool orientation"	"无效的刀具定位"	TOOL
INTERPRETER_FMT_81A4AEB31890	CHKS:rs274ngc/interp_convert.cc	"Invalid D-number in G76 cycle"	"G76循环中的D编号无效"	PROGRAM_SYNTAX
INTERPRETER_FMT_820AA52C8768	CHKS:rs274ngc/interp_execute.cc	"Invalid spindle ($) number in Spindle Mode command"	"主轴模式命令中的主轴($) 编号无效"	SPINDLE
INTERPRETER_FMT_83E89D4EE5F2	CHKS:rs274ngc/interp_convert.cc	"Need non-negative Q-word to specify tool number with M61"	"需要非负的Q字来指定M61的刀具号"	TOOL
INTERPRETER_FMT_84909C7B2175	CHKS:rs274ngc/rs274ngc_pre.cc	"Queue is not empty after tool change"	"更换刀具后队列不为空"	TOOL
INTERPRETER_FMT_854B9CF25999	ERS:rs274ngc/interp_g7x.cc	"G7X error: both R and I or K flag used for arc"	"G7X圆弧不能同时使用R参数和I/K标志"	PROGRAM_GEOMETRY
INTERPRETER_FMT_8604F5F5D748	CHKS:rs274ngc/interp_o_word.cc	"pycall(%s.%s) failed"	"扩展调用%s.%s失败"	PROGRAM_SYNTAX
INTERPRETER_FMT_869E814C3BE2	ERS:rs274ngc/interp_queue.cc	"BUG: cutter compensation has generated an invalid arc with mismatched radii r1 %f r2 %f\n"	"错误: 刀具补偿产生了一个不匹配的半径 r1 %f r2 %f"	INTERNAL
INTERPRETER_FMT_86A9E52600FF	CHKS:rs274ngc/interp_check.cc	"R value must be within 0..360 with M19"	"R值必须在0..360以内与M19"	PROGRAM_SYNTAX
INTERPRETER_FMT_8942150CB366	ERS:rs274ngc/interp_cycles.cc	"Spindle state unknown for %s"	"在 %s 中主轴状态未知"	SPINDLE
INTERPRETER_FMT_8AA0F3370F7D	CHKS:rs274ngc/interp_internal.cc	"Cannot use polar coordinate on a machine lacking X or Y axes"	"不能在缺少X或Y轴的机器上使用极坐标"	PROGRAM_SYNTAX
INTERPRETER_FMT_8B4A844A680D	CHKS:rs274ngc/interp_read.cc	"Bad character '%c' used"	"程序中使用了当前控制配置不支持的地址字%c"	PROGRAM_SYNTAX
INTERPRETER_FMT_8D63EF50D667	CHKS:rs274ngc/interp_convert.cc	"Cannot restore context from invalid stack frame - missing M70/M73?"	"无法从无效堆栈帧恢复上下文 - 缺少M70 / M73?"	PROGRAM_SYNTAX
INTERPRETER_FMT_8D9768FFF837	ERS:rs274ngc/interp_convert.cc	"invalid P-word with M66"	"M66没有有效的P字"	PROGRAM_SYNTAX
INTERPRETER_FMT_8FD779E796EE	CHKS:rs274ngc/interp_convert.cc	"Invalid spindle ($) number in M51 command"	"M51指令中的主轴($) 编号无效"	SPINDLE
INTERPRETER_FMT_923F1A48F21F	CHKS:rs274ngc/interp_convert.cc	"M7x: restore_settings G20/G21 failed: '%s'"	"M7x: restore_settings G20/G21 失败: '%s'"	PROGRAM_SYNTAX
INTERPRETER_FMT_93697D03F5F0	CHKS:rs274ngc/interp_check.cc	"G4 not allowed with G2 or G3 because they both use P"	"G4指令不允许与G2、G3一起使用，因为他们都使用P值"	PROGRAM_SYNTAX
INTERPRETER_FMT_943FD71E3B02	ERS:rs274ngc/interp_g7x.cc	"G7x error: Cannot use W and Z in the same block"	"同一G7X程序块不能同时使用W和Z"	PROGRAM_GEOMETRY
INTERPRETER_FMT_9555A8751371	CHKS:rs274ngc/interp_check.cc	"Between G5.2 and G5.3 codes, only additional G5.2 codes are allowed."	"在G5.2和G5.3代码之间，只允许增加G5.2代码。"	PROGRAM_SYNTAX
INTERPRETER_FMT_9802413485CC	ERS:rs274ngc/interp_read.cc	"bad number format (trailing characters) parsing '%s'"	"错误的数字格式(结尾字符)解析 '%s'"	PROGRAM_SYNTAX
INTERPRETER_FMT_99EF8BEF03A1	CHKS:rs274ngc/interp_convert.cc	"Invalid spindle ($) number in G33 move"	"G33移动中的主轴($) 编号无效"	SPINDLE
INTERPRETER_FMT_9AE5EE26F55D	CHKS:rs274ngc/interp_read.cc	"BUG: M remapping: modal group > 10"	"M指令重映射组超过允许范围"	INTERNAL
